id,user_id,movie_id,score
1,24,112,8.0
2,199,113,9.0
3,638,114,8.0
4,398,135,9.0
5,100,26,9.0
6,764,3,6.0
7,876,1,8.0
8,221,54,8.0
9,891,97,8.0
10,324,98,7.0
11,400,32,9.0
12,117,178,8.0
13,464,170,8.0
14,295,55,6.0
15,684,12,7.0
16,319,96,7.0
17,869,11,7.0
18,338,146,7.0
19,457,32,8.0
20,723,45,8.0
21,872,2,5.0
22,485,178,7.0
23,372,11,8.0
24,308,166,8.0
25,125,27,6.0
26,821,24,6.0
27,835,166,8.0
28,116,25,7.0
29,952,49,6.0
30,468,20,7.0
31,494,154,8.0
32,740,11,7.0
33,76,177,8.0
34,808,124,8.0
35,740,55,8.0
36,193,32,9.0
37,865,14,9.0
38,166,46,7.0
39,235,5,7.0
40,723,139,6.0
41,834,54,8.0
42,528,77,8.0
43,564,146,7.0
44,27,167,6.0
45,572,24,7.0
46,629,18,8.0
47,886,24,7.0
48,921,21,6.0
49,659,114,9.0
50,830,139,6.0
51,470,96,7.0
52,366,172,8.0
53,862,18,7.0
54,779,3,8.0
55,731,18,7.0
56,58,78,6.0
57,548,32,9.0
58,844,110,7.0
59,754,177,8.0
60,70,78,7.0
61,670,29,5.0
62,823,26,8.0
63,237,46,8.0
64,280,139,6.0
65,348,54,8.0
66,684,66,7.0
67,706,54,9.0
68,154,60,8.0
69,585,79,8.0
70,278,80,7.0
71,275,138,8.0
72,712,97,7.0
73,633,66,8.0
74,291,45,7.0
75,277,55,8.0
76,212,170,8.0
77,591,105,6.0
78,6,42,7.0
79,916,54,8.0
80,789,79,7.0
81,226,172,9.0
82,699,29,8.0
83,13,7,7.0
84,512,42,5.0
85,514,120,8.0
86,404,119,7.0
87,933,114,10.0
88,322,96,8.0
89,598,78,8.0
90,270,43,6.0
91,665,138,8.0
92,49,88,6.0
93,525,135,7.0
94,51,135,7.0
95,663,138,8.0
96,88,128,6.0
97,798,49,5.0
98,367,166,6.0
99,610,45,7.0
100,197,168,7.0
101,870,68,6.0
102,33,45,6.0
103,628,131,7.0
104,275,46,7.0
105,277,1,7.0
106,102,158,9.0
107,598,46,6.0
108,791,178,5.0
109,799,165,7.0
110,435,18,7.0
111,369,133,6.0
112,184,12,8.0
113,436,18,8.0
114,786,168,8.0
115,781,48,7.0
116,152,81,9.0
117,788,168,7.0
118,727,45,7.0
119,249,78,7.0
120,440,177,6.0
121,804,38,10.0
122,142,60,6.0
123,328,77,8.0
124,265,131,7.0
125,987,162,7.0
126,973,4,8.0
127,497,172,9.0
128,176,80,8.0
129,652,89,7.0
130,439,178,8.0
131,782,78,7.0
132,890,63,7.0
133,596,178,7.0
134,10,7,6.0
135,982,45,6.0
136,768,114,9.0
137,743,165,8.0
138,537,85,7.0
139,675,129,7.0
140,426,50,8.0
141,277,131,7.0
142,280,43,10.0
143,978,20,5.0
144,603,120,6.0
145,608,164,8.0
146,238,90,6.0
147,957,138,9.0
148,335,43,6.0
149,629,140,7.0
150,966,44,7.0
151,697,44,7.0
152,808,12,8.0
153,384,24,5.0
154,131,41,7.0
155,407,146,8.0
156,337,12,5.0
157,138,126,5.0
158,55,42,8.0
159,463,141,6.0
160,320,43,8.0
161,88,166,9.0
162,347,172,7.0
163,200,42,9.0
164,568,21,8.0
165,856,78,6.0
166,155,32,7.0
167,68,21,8.0
168,64,131,6.0
169,15,165,6.0
170,217,114,9.0
171,705,60,7.0
172,94,86,8.0
173,490,53,8.0
174,632,2,6.0
175,894,42,7.0
176,410,96,6.0
177,162,79,10.0
178,979,54,7.0
179,419,138,7.0
180,754,79,8.0
181,183,97,8.0
182,43,32,9.0
183,185,7,8.0
184,876,2,8.0
185,297,120,8.0
186,572,18,6.0
187,968,178,10.0
188,611,29,9.0
189,263,172,7.0
190,242,13,6.0
191,99,95,6.0
192,910,170,8.0
193,100,25,6.0
194,493,20,8.0
195,171,26,8.0
196,624,79,8.0
197,633,11,8.0
198,12,66,10.0
199,176,164,9.0
200,582,52,7.0
201,963,29,5.0
202,378,91,7.0
203,682,82,4.0
204,426,133,8.0
205,924,81,7.0
206,184,135,9.0
207,819,5,6.0
208,340,96,8.0
209,931,165,7.0
210,354,26,7.0
211,437,53,7.0
212,182,24,9.0
213,15,138,10.0
214,252,114,7.0
215,399,66,8.0
216,144,98,10.0
217,994,32,9.0
218,623,42,7.0
219,465,90,7.0
220,370,77,7.0
221,647,55,8.0
222,785,14,8.0
223,529,170,8.0
224,77,78,8.0
225,17,44,8.0
226,238,170,8.0
227,985,37,7.0
228,409,178,8.0
229,952,32,9.0
230,246,10,5.0
231,400,79,8.0
232,648,120,4.0
233,311,55,7.0
234,636,45,9.0
235,701,43,8.0
236,844,25,6.0
237,733,125,6.0
238,319,12,8.0
239,629,177,6.0
240,857,44,8.0
241,300,138,8.0
242,239,98,8.0
243,23,89,5.0
244,535,164,8.0
245,160,125,8.0
246,340,178,7.0
247,359,3,6.0
248,304,172,7.0
249,913,3,6.0
250,622,29,7.0
251,700,165,6.0
252,683,78,7.0
253,92,146,7.0
254,919,32,8.0
255,908,45,7.0
256,937,82,6.0
257,429,59,7.0
258,132,90,6.0
259,262,112,8.0
260,323,170,9.0
261,252,79,8.0
262,768,84,7.0
263,521,79,9.0
264,151,54,8.0
265,922,85,6.0
266,585,43,6.0
267,595,105,6.0
268,367,116,6.0
269,680,29,7.0
270,183,45,7.0
271,577,11,8.0
272,602,166,9.0
273,725,66,10.0
274,908,55,7.0
275,400,178,9.0
276,231,2,6.0
277,265,55,8.0
278,964,98,8.0
279,253,139,6.0
280,78,76,5.0
281,642,67,6.0
282,405,117,8.0
283,621,79,7.0
284,281,42,8.0
285,950,46,7.0
286,8,40,7.0
287,246,164,8.0
288,726,135,8.0
289,404,29,7.0
290,649,78,6.0
291,946,114,9.0
292,552,43,8.0
293,171,80,8.0
294,453,29,6.0
295,155,114,8.0
296,910,164,8.0
297,686,43,7.0
298,55,125,7.0
299,119,45,7.0
300,11,21,8.0
301,415,166,8.0
302,821,12,8.0
303,88,172,10.0
304,471,97,8.0
305,60,110,6.0
306,205,119,7.0
307,542,89,6.0
308,545,61,7.0
309,999,165,6.0
310,809,154,6.0
311,676,160,7.0
312,453,110,7.0
313,110,55,9.0
314,647,32,8.0
315,367,172,10.0
316,601,41,5.0
317,760,40,7.0
318,178,170,8.0
319,653,36,6.0
320,778,42,8.0
321,593,97,6.0
322,571,20,8.0
323,527,25,7.0
324,528,98,8.0
325,399,10,6.0
326,303,40,7.0
327,47,112,8.0
328,438,112,9.0
